courseid,coursetitle,durationinseconds,releasedate,description,assessmentstatus,iscourseretired,course-author,tag
aspdotnet-mvc5-fundamentals,ASP.NET MVC 5 Fundamentals,22457,2013-11-05T00:00:00Z,"ASP.NET MVC 5 Fundamentals covers all the new features of ASP.NET MVC 5, as well as the new features for web developers in Visual Studio 2013. The course looks at the Katana and OWIN middleware components to see how the components work at a low level and how they fit into ASP.NET pipeline. The new identity and membership components are covered, and a demonstration is included to customize and seed the membership database. We look at Bootstrap 3's grid and responsive design system, as well as the Web API 2, including a demo of making authenticated calls against a Web API from JavaScript. The Entity Framework version 6 is covered including the new async API in EF6, and we'll build an application to stream performance counter data using SignalR and Knockout. Finally, there are tips and tricks for editing HTML, JavaScript, CSS and LESS with Visual Studio 2013 and extensions like Web Essentials, which brings the Zen Coding plugin to the Visual Studio.",Live,no,Scott Allen,asp.net-mvc asp.net-mvc-5 web microsoft developer c# asp.net asp.net-mvc asp.net-mvc-5 web microsoft developer c# asp.net
aspdotnet-mvc-advanced-topics,ASP.NET MVC Advanced Topics,19845,2009-07-22T00:00:00Z,"This course covers more advanced topics in ASP.NET MVC including Ajax, TDD, and best practices.",Live,no,Scott Allen,mvc asp.net-mvc .net web microsoft developer asp.net mvc asp.net-mvc .net web microsoft developer asp.net
aspdotnet-mvc-testing-from-scratch,ASP.NET MVC Testing From Scratch,5696,2013-10-07T00:00:00Z,"ASP.NET MVC was designed with testing in mind. This course teaches everything you need to know about Unit Tests, Test Driven Development and User Interface Testing in the context of creating ASP.NET MVC applications.",Live,no,Jesse Liberty,test-driven-development mvc ui-testing asp.net-mvc unit-testing web microsoft software-practices developer asp.net test-driven-development mvc ui-testing asp.net-mvc unit-testing web microsoft software-practices developer asp.net
aspdotnet-security,ASP.NET 3.5 Security,9519,2008-12-22T00:00:00Z,This course covers the membership and security features of ASP.NET.,Live,no,Keith Brown,.net web security microsoft developer asp.net .net web security microsoft developer asp.net
aspdotnet-security-secrets-revealed,ASP.NET Security Secrets Revealed,12272,2014-01-07T00:00:00Z,"ASP.NET is full of little nuggets of security goodness, often doing their work in the background without you even noticing and other times secreted away within obscure corners of the framework. This course is about building familiarity with the breadth of framework features after which the developer can go off and build further knowledge through existing Pluralsight courses that really drill deep into the detail.",Live,no,Troy Hunt,web security microsoft developer asp.net web security microsoft developer asp.net
aspdotnet-undo,Implementing Undo in ASP.NET WebForms and MVC,4765,2010-08-27T00:00:00Z,"There's loads of advice out there recommending that you implement an Undo feature in your website instead of popping up warning messages to protect users from ""dangerous"" operations. But there's not a lot of advice out there for how to actually go about doing this in ASP.NET, in either WebForms or MVC. In this course, Keith Brown walks you through his implementation of undo at pluralsight.com to help you get a feel for how you might implement such a feature in your own website.",Live,no,Keith Brown,mvc asp.net-mvc webforms web microsoft developer asp.net mvc asp.net-mvc webforms web microsoft developer asp.net
aspdotnet-webforms4-intro,Introduction to ASP.NET 4 WebForms,31280,2011-04-11T00:00:00Z,"Building Application with ASP.NET 4 WebForms is a course designed to get you up and running with ASP.NET WebForms. The modules in the course will cover everything from setting up a development environment to deploying to a live web site. In between we'll drill into the details of server controls, data binding and validation, user controls, security, Ajax features, and persisting data to SQL Server.",Live,no,Dan Wahlin,webforms webforms web web asp.net-4 asp.net-4 microsoft microsoft developer developer asp.net asp.net webforms webforms web web asp.net-4 asp.net-4 microsoft microsoft developer developer asp.net asp.net
aspdotnet-webforms4-intro,Introduction to ASP.NET 4 WebForms,31280,2011-04-11T00:00:00Z,"Building Application with ASP.NET 4 WebForms is a course designed to get you up and running with ASP.NET WebForms. The modules in the course will cover everything from setting up a development environment to deploying to a live web site. In between we'll drill into the details of server controls, data binding and validation, user controls, security, Ajax features, and persisting data to SQL Server.",Live,no,Fritz Onion,webforms webforms web web asp.net-4 asp.net-4 microsoft microsoft developer developer asp.net asp.net webforms webforms web web asp.net-4 asp.net-4 microsoft microsoft developer developer asp.net asp.net
aspdotnet-web-services-introduction,Introduction to ASP.NET Web Services,10645,2013-07-19T00:00:00Z,"ASP.NET Web Services have been around for a long time, but this technology is still widely used today. If you have existing ASP.NET Web Services you are trying to support, you may have realized that it can be difficult to find good information about using them today. In this course you will learn the basics of ASP.NET Web Services and how to use them. We'll start off by talking about the technology and learning about how ASP.NET Web Services work. Then, we'll dive in and create our own simple ASP.NET Web Service and learn about how the technology works. Once we have a web service built, we'll learn how to use .NET's proxy generating utilities to create a consumer for our web service without writing much code. After that, we'll learn how to use ASP.NET Web Service in an existing ASP.NET application to provide AJAX functionality and even see how we can embed service methods in ASPX page. Finally, in the last module, I'll take you through the process of converting a legacy ASP.NET Web Service to newer technologies like WCF and Web API. So, if you need to maintain an existing legacy ASP.NET Web Service application or you are looking to learn enough about ASP.NET Web Service to feel confident in migrating to a newer technology, you'll want to check out this course.",Live,no,John Sonmez,wcf web-services soap web microsoft ajax asp.net-web-api developer wsdl asp.net wcf web-services soap web microsoft ajax asp.net-web-api developer wsdl asp.net
aspdotnet-xml-reporting-by-example,ASP.NET XML Reporting by Example,2255,2010-02-12T00:00:00Z,"This module demonstrates a simple, practical technique to generate and display a custom report, using XML to store the results of the report, LINQ to XML to generate it, and declarative data binding in ASP.NET to display it.",None,no,Keith Brown,linq xml .net web microsoft developer asp.net linq xml .net web microsoft developer asp.net
aspect-oriented-programming-spring-aspectj,Aspect Oriented Programming (AOP) using Spring AOP and AspectJ,9608,2013-10-14T00:00:00Z,Aspect Oriented Programming is a powerful tool. Almost every Spring application uses it to support features like security or transactions - but it is often not used to its full power. This course shows all the aspects that come with Spring out of the box - for example tracing or performance logging - how you can create your own aspects to support e.g. auditing or exception handling and simplify your application in the process. And you even learn how you can use AOP to define your architecture!,Live,no,Eberhard Wolff,aspectj programming-languages aop spring java developer aspectj programming-languages aop spring java developer
aspnet-bundling-minification-resource-optimization,"ASP.NET Bundling, Minification & Resource Optimization",15774,2013-12-11T00:00:00Z,"A complete look into the bundling and minification framework available in the ASP.NET web optimization library. Learn how to efficiently optimize your website resources and assets without comprising the way you want to develop. ASP.NET makes bundling and minification incredibly easy and leaves no reason not to ensure your web application is fully optimized. Walk through basic optimization setup against a demo application in both Web Forms and MVC. Then, work to enhance the demo application by adapting the bundling framework for ignoring files, ordering files, and adding CDN scripts with a fallback. You will see how to begin extending the optimization library with your own custom transforms to harness great flexibility. We will take customizations a step further and consider using custom bundles to consolidate and inject resources, enumerations and templates to the client. Finally, we will dive into unit testing your optimization configurations and extensions and the importance of doing so in a team environment.",Live,no,Travis Gosselin,performance web microsoft developer asp.net performance web microsoft developer asp.net
aspnetwebapi,Introduction to the ASP.NET Web API,11724,2012-12-12T00:00:00Z,"In the world of HTML5, mobile devices, and modern development techniques HTTP has become the default option for building rich, scalable services. The ASP.NET Web API was designed from the ground up to meet the need of developers who want to build HTTP/RESTful services. The API provides a easy to use set of default options, but also provides a deep extensibility infrastructure to meet the demands of any scenario using HTTP.",Live,no,Jon Flanders,http web microsoft asp.net-web-api rest distributed-systems developer asp.net http web microsoft asp.net-web-api rest distributed-systems developer asp.net
aspnetwebapi-odata,Building ASP.NET Web API OData Services,13882,2013-03-05T00:00:00Z,"The OData protocol is an open multiplatform standard for exposing data via REST-based HTTP services for querying and updating. The ASP.NET Web API has been extended to allow you to easily build services that enable the OData query syntax on top of whatever formatting you choose for your payloads, or to do full-blown OData with both the query language and OData-compliant formatting. This course will teach you how to implement OData query support and OData formatting for round-trip CRUD (Create-Read-Update-Delete) operations on resource collections exposed using Web API services. You will first learn some fundamentals about ASP.NET Web API services, REST, and OData. Then you will learn about OData query syntax and how to easily implement it in your services. Then you will learn how to define Entity Data Models to support the full OData navigation syntaxes, and add OData formatters to turn your services into fully compliant OData services. Finally you will get some exposure to calling those services from .NET and JavaScript clients.",Live,no,Brian Noyes,odata web-services web microsoft entity-data-models asp.net-web-api developer asp.net odata web-services web microsoft entity-data-models asp.net-web-api developer asp.net
aspnet-webforms45-new-features,New Features in ASP.NET 4.5,16143,2013-03-21T00:00:00Z,"This course provides a tour of what's new in Visual Studio 2012 for ASP.NET Web Forms developers and how it can make you more productive as a developer. The course begins by showing you key enhancements to Visual Studio's HTML editor and its improved support for working with CSS and JavaScript. Next, you’ll explore what's new with data binding (some significant features have been added here) including model binding and strongly typed data controls. You’ll also see enhancements that have been made to the ASP.NET framework such as bundling and minification of JavaScript and CSS, asynchronous modules and handlers, SignalR and more. Several new HTML5 features are also demonstrated including new HTML5 input types, Web Sockets and support for multiple file uploads. The course concludes with a look at important security-related improvements in ASP.NET including support for OAuth, request validation and support for preventing cross-site request forgery (XSRF) attacks.",Live,no,Dan Wahlin,webforms webforms-4.5 web microsoft html5 developer asp.net webforms webforms-4.5 web microsoft html5 developer asp.net
aspnet-webforms-internals-viewstate-page-lifecycle,"ASP.NET Web Forms Internals: Requests, ViewState & Page Lifecycle",3871,2013-06-13T00:00:00Z,"Do you know what happens before a page starts executing its events? Do you know how the ASP.NET pipline works and what are the best practices for your code to subscribe to this pipeline? Do you know the importance of ViewState in the page lifecycle beyond the ""it saves page state between postbacks"" statement? If the answer of any of the above questions is no, then you will benefit from this course.",Live,no,Mohamad Halabi,webforms page-lifecycle .net web viewstate microsoft developer asp.net webforms page-lifecycle .net web viewstate microsoft developer asp.net
async-parallel-app-design,Async and Parallel Programming: Application Design,13502,2012-05-29T00:00:00Z,"Need to make your .NET applications more responsive? Run faster? On today's multicore hardware, async and parallel programming may be the answer. This course (part 2 of 2) discusses the safe and efficient design of asynchronous and parallel .NET applications. It builds upon the introduction provided in part 1 (""Introduction to Asynchronous and Parallel Programming in .NET 4""), offering more details into the inner workings of the Task Parallel Library, the dangers of concurrent execution, and the higher-level abstractions available in the TPL to help you. The course closes by weaving these concepts together and presenting common patterns for building fast, correct parallel software. This course is for anyone working in .NET 4 or Silverlight 5.",Live,no,Joe Dr.  Hummel,dataflow desktop async task-parallel-library threading concurrency .net web microsoft developer dataflow desktop async task-parallel-library threading concurrency .net web microsoft developer
audio-programming-naudio,Audio Programming with NAudio,25195,2013-11-04T00:00:00Z,"This course teaches you how to use all the major features of NAudio, and open source audio library for .NET. It includes plenty of code examples for playback, recording, working with files and codecs, streaming and visualising. You'll also learn about what underlying system APIs are being used by NAudio, so you can ensure your application runs as expected on all target operating systems.",Live,no,Mark Heath,sound web open-source digital-audio developer sound web open-source digital-audio developer
automated-acceptance-testing-specflow-gherkin,Automated Acceptance Testing with SpecFlow and Gherkin,10290,2013-10-28T00:00:00Z,"SpecFlow is a tool for writing tests in Gherkin that the business can understand. Once the tests are written, the steps of these natural language tests can be hooked-up to actual coded automation and tests.",Live,no,Jason Roberts,test-driven-development acceptance-testing quality-assurance software-practices developer test-driven-development acceptance-testing quality-assurance software-practices developer
automated-testing-end-to-end,Automated Testing: End to End,11701,2013-06-18T00:00:00Z,"We shouldn't live in fear of our code. Long-term customer satisfaction, product agility, and developer happiness are crucial. A quality suite of automated tests helps achieve this. This practical course covers how and what to test at the unit, integration, and functional UI levels; and how to bring them all together with continuous integration build server.",Live,no,Jason Roberts,test-driven-development integration-testing ui-testing automated-testing continuous-integration software-practices developer test-driven-development integration-testing ui-testing automated-testing continuous-integration software-practices developer
automated-testing-fraidy-cats,Automated Testing for Fraidy Cats Like Me,5237,2013-05-22T00:00:00Z,"Many developers have heard of unit testing or test driven development but are daunted by the scope, depth or learning curve. This course aims at removing that first layer of trepidation. You will get a quick and broad perspective on why you might want to take a closer look at testing. You'll learn about some of the key benefits, get a high level look at the testing landscape and see baby steps to coding some of the most common techniques. The course should help you determine if you want to learn more about testing and provide you with a solid platform to continue on to more advanced learning resources. Automated Testing for Fraidy Cats Like Me is aimed at developers from any discipline although Visual Studio, C# and related tools are used to demonstrate testing techniques.",Live,no,Julie Lerman,test-driven-development automated-testing unit-testing software-practices developer test-driven-development automated-testing unit-testing software-practices developer
automated-testing-framework-selenium,Creating an Automated Testing Framework With Selenium,13575,2013-09-26T00:00:00Z,"Learning how to use a tool like Selenium to create automated tests is not enough to be successful with an automation effort. You also need to know how to build an automation framework that can support creating tests that are not so fragile that they constantly break. This is the real key to success in any automation effort. In this course, I will reveal every secret I know from creating several successful automation frameworks and consulting on the creation of others. I will show you exactly, step-by-step how to create your own automation framework and I will explain to you the reasoning behind everything we are doing, so you can apply what you learn to your own framework. We’ll start off this course by going over the basics of automation and talking about why it is so important as well as discuss some of the common reasons for success and failure. Then, I’ll take you into the architecture of an automation framework and show you why you need to pay careful attention to the structure of any framework you build and give you some of the underlying design principles I use when creating an automation framework. After that we’ll be ready to start creating a framework. In the next few modules, I’ll show you how to create a real automation framework capable of automating the Wordpress blogging platform administrative console. We’ll start off by creating smoke tests and using those smoke tests to build out our initial framework. Then, we’ll expand the capabilities of our framework as we create more tests and learn how to use techniques like dummy data generators to make our tests as simple and easy to read as possible. Finally, I’ll take you through some best practices and tips that cover topics like scaling out, working in Agile environments and other important issues you are likely to face. If you are responsible for an automation project for a web application or you want to start using automation, you’ll definitely want to check this course out.",Live,no,John Sonmez,web-frameworks automated-testing blackbox automation testing wordpress web smoke-test selenium software-practices developer architecture web-frameworks automated-testing blackbox automation testing wordpress web smoke-test selenium software-practices developer architecture
autoplay-media-studio-fundamentals,AutoPlay Media Studio Fundamentals Part 1,14203,2014-01-10T00:00:00Z,"AutoPlay Media Studio AMS is a Rapid Application Development (RAD) software that allows users to develop cool GUI applications in a very short time, the interface is user-friendly and getting started with AMS is so easy that even a person who has never developed before can master it without problems. This course will teach you the basics of AMS and how to create GUI applications with minimal code writing.",Live,no,Slim Chtourou,desktop beginner-programming developer desktop beginner-programming developer
aws-course,AWS Developer Fundamentals,15990,2012-02-23T00:00:00Z,"This course covers the Amazon Web Services offerings for compute, storage, databases, messaging and administration. Each module includes a series of demonstrations that show how to interact with AWS services through the Management Console, native API and .NET SDK. The course covers classic AWS services like EC2 as well as brand new services like DynamoDB.",Live,no,Richard Seroter,web-services amazon-web-services cloud developer web-services amazon-web-services cloud developer
azure-acs,Windows Azure Access Control Service,7834,2012-01-05T00:00:00Z,"The Windows Azure Access Control Service (ACS) provides a security federation mechanism that works across the enterprise and the Internet. ACS allows you to use the identity providers that matter to you while implementing applications that rely on claims based authentication. Learn how to use ACS to federate identities stored in Active Directory, Facebook, Windows Live, Yahoo!, and in Google properties such as GMail and Google Applications.",Live,no,Scott Seely,windows-azure caching cloud microsoft developer windows-azure caching cloud microsoft developer
azure-appfabric-course,Windows Azure AppFabric,15590,2010-12-26T00:00:00Z,"The Windows Azure AppFabric contains three services meant to improve developer productivity in the cloud: Cache, Access Control, and Service Bus. This course covers all areas of these services. The services themselves offer a lot of functionality: high performance caching of frequently used data, an STS that can make single sign-on a breeze from corporate accounts, and a mechanism to expose services from your local infrastructure out to the Internet. Inside, you'll find gems like a pub sub system, short-lifetime queues, and full authentication integration with Google, Yahoo!, Facebook, and Windows Live.",Live,no,Scott Seely,windows-azure windows-azure-appfabric windows-azure-cache windows-azure-service-bus microsoft windows-azure-access-control-service developer windows-azure windows-azure-appfabric windows-azure-cache windows-azure-service-bus microsoft windows-azure-access-control-service developer
azure-bigpicture,Windows Azure: The Big Picture,4989,2012-08-20T00:00:00Z,"Cloud platforms have gone mainstream, and Microsoft’s Windows Azure is among the most important options in this area. This course provides an introduction to Windows Azure, walking through each of its components. The goal is to provide a big-picture overview, explaining what the platform includes and when you would use each of its technologies.",Live,no,David Chappell,high-performance-computing windows-azure service-bus paas cloud saas hadoop microsoft developer high-performance-computing windows-azure service-bus paas cloud saas hadoop microsoft developer
azure-caching,Windows Azure Caching Service,6024,2012-01-06T00:00:00Z,The Windows Azure Caching Service provides an in memory cache for use within your Windows Azure based applications. The caching service provides mechanisms to act as an ASP.NET cache for SessionState and for the output cache. You can directly interact with the caching service to store and share information between application components that live in Windows Azure.,Live,no,Scott Seely,windows-azure caching cloud microsoft developer windows-azure caching cloud microsoft developer
azure-cloud-services-storage-fundamentals,Fundamentals of Azure Cloud Services and Storage,6730,2013-04-10T00:00:00Z,"In this course you will learn about Windows Azure cloud services and storage. Specifically, you will learn how to provision Azure services and how to deploy and upgrade your applications. Additionally, you will gain an understanding of the storage services provided in Windows Azure: tables, blobs, and queues; and how they are exposed via HTTP. This course does not use a language specific SDK. Instead, the goal of this course is to help you understand how these services work and how to use HTTP to interact with them providing the foundation for working with these technologies from your preferred language.",Live,no,Matt Milner,windows-azure cdn microsoft developer windows-azure cdn microsoft developer
azure-elastic-scale,Elastic Scaling on Windows Azure,6942,2012-12-21T00:00:00Z,"So you've spent the last few months building the next killer website, have you given much thought to your success? Specifically, have you thought about how your Cloud Services are going to respond to the load generated by your success? Azure has always provided the ability to scale your resources up or down, aka elastic scale, but do you actually know how to accomplish this? Automatically? Take this course to understand the core concepts surrounding elastic scale, and learn how you can use Enterprise Library 5's Autoscaling Application Block to automate your scaling in response to demand, without blowing out your budget.",Live,no,Zoiner Tejada,windows-azure wasabi cloud microsoft developer windows-azure wasabi cloud microsoft developer
azure-fundamentals,Windows Azure Fundamentals,17856,2010-03-27T00:00:00Z,This course introduces you to the new world of cloud computing and how to build on the Windows Azure Platform. We'll cover Windows Azure compute and storage and SQL Azure. Along the way we'll discuss cloud computing tradeoffs and help you understand the constraints and limitations imposed by the cloud computing model offered by the Windows Azure Platform today.,Live,no,Matt Milner,windows-azure wcf microsoft distributed-systems developer windows-azure wcf microsoft distributed-systems developer
azure-sb,Windows Azure Service Bus,7553,2012-01-09T00:00:00Z,"The Windows Azure Service Bus provides the messaging backbone for applications that live in the cloud, in your data center, and across desktops, laptops, and mobile devices. The relay service provides a mechanism to traverse firewalls. Queues provide a smart, secure way to exchange messages between disconnected devices. Topics and subscriptions allow for intelligent message distribution across applications.",Live,no,Scott Seely,windows-azure service-bus cloud microsoft developer windows-azure service-bus cloud microsoft developer
azure-sql-course,SQL Azure,9520,2011-01-24T00:00:00Z,"SQL Azure is Microsoft's RDBMS for the cloud. Because it is based on SQL Server, developers can apply what they know about SQL Server to SQL Azure immediately. SQL Azure is its own product and, over time, developers will discover that they need to know some extra items in order to be fully productive on this platform. This module covers much of what developers need to know: basic development, security models, integration with existing platforms, and pricing. It covers new features like the SQL Azure OData service as well.",Live,no,Scott Seely,odata windows-azure sql ssrs data cloud microsoft distributed-systems developer odata windows-azure sql ssrs data cloud microsoft distributed-systems developer
azure-websites,Windows Azure Web Sites,5759,2012-11-30T00:00:00Z,"Windows Azure Web Sites provide a true Platform As A Service (PASS) option for hosting your website in a reliable and easily scalable environment. This course will teach you about publishing your website, package management, diagnostics, and continous integration. You will also learn how to use templates to jumpstart your site development.",Live,no,Matt Milner,node.js windows-azure azure-websites git cloud php microsoft developer node.js windows-azure azure-websites git cloud php microsoft developer
backbone-fundamentals,Backbone.js Fundamentals,16943,2012-09-05T00:00:00Z,"Backbone.js is a set of tools that gives structure to client-side web applications. It helps us write clean, maintainable JavaScript applications. This course will show you how to get the most out of each backbone component, and how to assemble them all into an advanced, modern web application.",Live,no,Liam McLennan,spa testing underscore.js web developer javascript backbone.js spa testing underscore.js web developer javascript backbone.js
backbonejs,Backbone.js Persistence,11483,2011-11-23T00:00:00Z,"Backbone.js is a capable framework for building client-side applications. But even with method-by-method documentation, the details of how to actually build full-featured, useful applications can be elusive. Complete your knowledge of Backbone by learning about data persistence in this course. You'll learn how to use Backbone.js to create and modify data on a server.",None,no,David Goodlad,peepcode peepcode web web developer developer javascript javascript backbone.js backbone.js peepcode peepcode web web developer developer javascript javascript backbone.js backbone.js
backbonejs,Backbone.js Persistence,11483,2011-11-23T00:00:00Z,"Backbone.js is a capable framework for building client-side applications. But even with method-by-method documentation, the details of how to actually build full-featured, useful applications can be elusive. Complete your knowledge of Backbone by learning about data persistence in this course. You'll learn how to use Backbone.js to create and modify data on a server.",None,no,Geoffrey Grosenbach,peepcode peepcode web web developer developer javascript javascript backbone.js backbone.js peepcode peepcode web web developer developer javascript javascript backbone.js backbone.js
backbone-js-in-depth-testing-mocha-sinon,Backbone.JS In-Depth and Intro to Testing with Mocha and Sinon,19147,2014-01-22T00:00:00Z,"Non-trivial web applications demand moving beyond jQuery one-offs into testable, single-responsibility code architectures. Sam shows us Backbone's lightweight approach to building client-side MVC applications and builds in unit tests with Mocha and Sinon.JS.",None,no,Sam Breed,frontend-masters testing mocha web developer javascript backbone.js frontend-masters testing mocha web developer javascript backbone.js
bash-shell-scripting,Shell Scripting with Bash,16397,2013-10-16T00:00:00Z,"Bash shell scripts allow you to automate just about any task on a UNIX system. They combine the power of all the UNIX userland utilities with a powerful scripting language. Whether you are a system administrator, a developer or a power user, shell scripts will make you more productive.",Live,no,Reindert-Jan Ekker,developer-tools unix command-shell admin linux bash developer developer-tools unix command-shell admin linux bash developer
bean-validation,Bean Validation 1.1,8962,2014-01-28T00:00:00Z,"Processing, storing, and retrieving valid data is crucial for an application, that's why validation is a common task that needs to be done in several layers of your application. In this course you will learn how Bean Validation allows developers to write constraints in a standard way and apply them everywhere (bean, properties, constructors, method parameters, and return value). You will also see how Bean Validation can be integrated in other Java EE specifications.",Live,no,Antonio Goncalves,data validation java developer data validation java developer
beginner-azure,Introduction to Windows Azure,8722,2011-01-24T00:00:00Z,This course introduces you to the tools and techniques you need to build cloud applications on the Windows Azure platform. The modules focus on hands-on examples for using the development tools in Visual Studio and showing you how to accomplish common tasks in Windows Azure development.,Live,no,Matt Milner,windows-azure cloud microsoft distributed-systems developer windows-azure cloud microsoft distributed-systems developer
beginner-facebook-development,Introduction to the Facebook Graph API,7831,2013-06-25T00:00:00Z,"There's a good chance almost everyone you know is on Facebook. Over 1 billion people in the world use Facebook today. That means most of your customers probably use it. Therefore your apps should be using it as well. In this course by Jesse Stay, you'll go beyond the fundamentals and create a fully-functioning app in JavaScript that integrates social design principles and makes your app a much less lonely experience. If you're looking to promote your app, this is the easiest way to build an app that naturally promotes itself and grows on its own!",Live,no,Jesse Stay,social-media facebook developer javascript social-media facebook developer javascript
beginning-after-effects-cc,Beginning After Effects CC,12069,2014-02-13T00:00:00Z,"Adobe's After Effects is the industry-leading solution for creating animations, motion graphics and visual effects. Learn the basics and more by being hands-on with real industry animations and following an entertaining scenario story arc. Beginning After Effects CC will walk you through the essential skills you need to animate everything from text and shapes to simple character animations. This course will also help you build a solid foundation in common workflows and easily break down a complex animation into manageable pieces.",Live,no,Jeff Hurd,video adobe end-user motion-graphics graphics motion-graphics after-effects animation video adobe end-user motion-graphics graphics motion-graphics after-effects animation
beginning-html5-apps-firefox-os,Beginning HTML5 Apps For Firefox OS,8455,2013-10-17T00:00:00Z,"Firefox OS is a new exciting mobile operating system that has the goal of taking HTML 5 and making it a first class mobile citizen. In this course I’ll teach you the basics of Firefox OS and show you by example how to create two real Firefox OS applications as well as how to get those applications into the Firefox Marketplace. In this course, we’ll start off by learning a little bit about Firefox OS and what makes it different. We’ll also talk about some of the benefits of a mobile operating system that uses web technologies you are already familiar with and take a quick look at the OS itself. After that, we’ll create a very basic Hello World application as we go through the pretty simple process of installing the Firefox OS simulator and creating a very basic application to run inside it. Once we have those basics down, we’ll go straight into creating our first application. First, I’ll show you how to create a hosted application which is an application that you can actually host on your own webserver, but is installed like any other mobile app on Firefox OS. Then, we’ll create another full application, as we learn how to create a packaged application that is able to access more of the APIs that Firefox OS only exposed to apps that are actually installed on the device. We’ll still use the same HTML 5 technologies you are used to for this application, but we won’t need to host the app ourselves, because the user will install in directly on their device. Finally, I’ll take you through the process of deploying your Firefox OS applications. We’ll talk about the different options you have for getting our application into users hands including distributing it yourself and using the Firefox Marketplace to host your apps. So, if you are excited about mobile, and want to learn about an exciting platform you can develop for that will allow you to reuse your existing HTML 5, JavaScript and CSS skills, you’ll definitely want to check out this course.",Live,no,John Sonmez,jquery firefox-os web html5 developer mobile javascript jquery firefox-os web html5 developer mobile javascript
beginning-html5-game-development-quintus,Beginning HTML 5 Game Development With Quintus,10356,2013-10-25T00:00:00Z,"Game development is awesome! And it is actually much easier than you think, especially now that you can develop games completely using web technologies you probably are already familiar with. Modern browsers today that have support for HTML5 and fast JavaScript engines are more than capable of running complex games that would have been impossible years earlier. In this course, I’ll show you how to create a complete game using only HTML5 and JavaScript. We’ll start off by learning the basics of game development and the basics of how HTML5 and modern browser technologies support it. Then, we’ll dive right in and start implementing the basics of a game. We’ll start off by actually creating the start of a game completely from scratch, implementing everything ourselves. Once we’ve seen the basics of doing things from scratch, we’ll introduce a JavaScript game engine to help us out as we learn about Quintus and start building our first real complete game. From there on we’ll expand our game little by little as we add features like moving a player around and firing shots in the game. We’ll also learn how to create enemies in the game and give them some intelligence. So, if you are interested in game development or if you just want to see what is possible with HTML5, check out this course. You’ll be surprised how easily you can put together a real HTML5 game.",Live,no,John Sonmez,games web quintus game-programming html5 developer games web quintus game-programming html5 developer
beginning-ios7-development,Beginning iOS 7 Development,8575,2013-10-09T00:00:00Z,"Starting to learn iOS application development can be intimidating if you don’t have much experience with a Mac and haven’t used Objective-C. But, it doesn’t have to be a painful experience. In this course, I’ll show you the basics of creating an iOS application as we build a complete iOS application learning what we need to know about Objective-C along the way. We’ll start out by learning a little bit about iOS in general and the iOS development environment. Then, we’ll jump right in and create out first Hello World iOS application as we set up our development environment and learn the basics of the IDE we use for iOS development, Xcode. After that, I’ll show you the core things you need to know to build any application, how to build a user interface and interact with it. We’ll learn how to use Xcode’s Interface Builder tool to create a very basic IU and interact with it. Once we’ve got the basics covered, we’ll start building our first real application. We’ll learn a few new concepts as we build our application, like how to use the iOS storyboarding feature to creating a multi-screen application and how to setup navigation in our application. Finally, we’ll finish up our iOS application by learning how to add user settings to the app and how to show the user a simple notification through the use of alerts. So, if you are looking to get started with iOS development and are looking for an easy and gentle way to get introduced to the environment and tools while building a real application, this course is exactly what you need. You won’t be an expert at iOS development after taking this course, but this course will definitely give you a head start in learning the platform and show you the basics you need to know before taking a more advanced course.",Live,no,John Sonmez,objective-c ios xcode ios7 apple developer mobile objective-c ios xcode ios7 apple developer mobile
beginning-lua,Beginning Lua,10233,2013-12-02T00:00:00Z,"Lua is an extremely versatile and popular programming language that you’ll find embedded in many other applications like Adobe’s Lightroom or even World of Warcraft. Many developers are surprised to find that even very popular games like Angry Birds are written in Lua. In this course, you’ll learn how to quickly get started writing programs and scripts with Lua. I’ll take you through the basics of Lua, show you some tricks that demonstrate the Lua’s flexibility and even show you how to use Lua in an object oriented way. We’ll start off in this course by learning a bit about Lua itself and Lua’s history, as well as learn how to download Lua and use the popular SciTE IDE for creating and running Lua code. After we are setup and ready to develop some Lua code, we’ll learn the basics of Lua as we jump right in and build our first application. We’ll go over Lua’s type system and learn how to assign variables, utilize operators, use conditional logic and create loops. Once we’ve got the basics covered, we’ll explore two powerful concepts in Lua: functions and tables. We’ll learn how functions work in Lua and what makes them so powerful, and we’ll see how tables can be used for more than just storing simple data. Even though Lua itself doesn’t have a class construct, we’ll learn how to do object oriented programming in Lua using tables and metatables. Finally, we’ll wrap up the course by learning a little bit about the standard libraries that come with Lua. I’ll show you some examples of using some of the most useful functions in the standard libraries and show you where you can get more information about them.",Live,no,John Sonmez,programming-languages game-programming developer lua programming-languages game-programming developer lua
benchmarking-with-httperf,Benchmarking with httperf,3231,2007-02-28T00:00:00Z,"Programmers love performance. We like to talk about it and form theories, but we don't know how to measure it. And when we do, we don't know what to do with the numbers we get. Benchmarking with httperf shows how to use the very simple (but capable) httperf command-line tool. It also explains the basic statistics you need to know to compare separate benchmarking runs. You'll also learn how to use httperf to find the maximum performance of a single Mongrel instance. You can use this same technique to tune your server and find the optimum number of Mongrel processes to use in your cluster.",None,no,Geoffrey Grosenbach,deployment peepcode developer-tools open-source developer deployment peepcode developer-tools open-source developer
